"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","connectance","fixed"
"318",0,0,34,0,0,0,4,0,11,28,0,21,0,11,44,0,0,0,26,64,0,64,1,1,16,5,0,0,0,0,1,0,13,1,42,0,1,19,1,10,48,0,6,0,0,7,0,4,0,1,0,100
"319",0,19,6,0,2,0,0,7,52,0,24,2,0,0,0,0,1,1,2,0,0,4,0,0,40,0,2,112,0,0,0,25,1,9,0,0,5,15,7,49,0,13,0,0,30,24,0,15,13,4,0,100
"320",1,22,3,3,1,9,1,0,0,17,2,1,0,1,4,0,0,5,20,0,0,0,0,0,0,11,0,111,10,0,0,97,5,74,1,13,1,3,0,21,0,0,1,0,3,0,5,37,0,1,0,100
"321",0,1,4,1,36,14,15,0,63,0,41,0,2,0,0,0,0,7,0,4,19,0,0,0,11,17,1,3,0,17,0,16,31,10,20,17,0,28,20,38,0,10,9,0,0,3,20,0,1,5,0,100
"322",3,0,3,0,1,0,2,0,98,1,0,2,0,0,6,0,0,63,2,7,2,8,8,0,0,0,5,1,53,3,0,2,0,0,3,0,2,0,36,0,0,61,0,0,3,1,85,4,19,0,0,100
"323",0,23,0,4,0,7,0,41,24,1,0,0,5,0,0,14,4,4,36,0,0,0,63,0,31,7,0,0,118,0,0,0,6,51,13,0,2,0,0,0,0,6,0,7,0,0,0,15,0,2,0,100
"324",1,0,0,52,1,1,0,8,0,0,1,0,4,42,1,1,0,28,0,1,1,0,2,0,0,0,12,21,12,2,0,28,45,20,38,0,7,0,15,0,19,0,1,9,43,6,35,0,22,5,0,100
"325",0,0,0,3,0,5,7,16,26,26,9,1,0,16,0,0,4,0,0,58,0,1,0,0,0,0,1,0,0,0,5,0,1,0,34,45,0,0,14,36,0,3,0,5,0,0,10,15,118,25,0,100
"326",9,0,0,0,0,0,0,0,14,1,0,5,0,5,7,0,2,0,4,14,24,19,2,0,6,7,20,3,7,4,0,0,2,163,16,12,0,0,9,0,0,46,0,0,58,11,1,0,3,10,0,100
"327",24,9,7,0,0,0,17,3,0,0,21,0,16,0,2,5,0,25,0,9,32,3,4,0,0,1,4,28,18,0,0,0,116,15,0,27,9,3,1,0,8,0,2,0,69,5,1,0,0,0,0,100
"328",0,0,0,0,0,99,0,20,0,1,0,3,0,0,47,0,35,77,5,5,4,35,0,8,20,23,20,0,0,7,19,6,0,0,0,0,0,0,15,5,0,1,5,0,1,1,0,0,0,22,0,100
"329",0,0,21,0,0,9,1,95,1,1,1,92,0,1,43,13,4,17,0,34,0,0,0,0,0,0,0,2,12,0,20,63,0,0,1,0,0,2,20,0,0,22,0,0,0,2,0,0,7,0,0,100
"330",36,0,0,0,0,2,0,48,0,0,0,36,0,3,0,10,75,11,0,2,5,0,1,12,0,0,11,0,5,0,2,4,0,0,1,0,0,7,26,1,66,26,0,25,0,9,0,0,60,0,0,100
"331",39,3,1,19,4,15,14,0,0,11,6,0,1,0,0,1,1,1,3,81,1,2,0,0,0,58,0,1,16,2,0,0,0,18,0,12,1,0,0,3,9,1,0,2,61,7,9,81,0,0,0,100
"332",0,85,3,0,0,0,40,2,0,0,1,7,0,38,0,40,0,1,0,9,0,3,0,8,0,1,0,0,14,19,2,35,0,1,35,57,18,3,10,50,0,0,0,0,0,0,0,0,2,0,0,100
"333",0,0,0,0,0,0,17,19,0,0,0,0,0,87,0,6,3,0,18,12,3,33,0,0,0,0,0,4,0,2,0,2,3,12,20,22,1,0,0,59,0,0,48,13,91,0,6,0,0,3,0,100
"334",47,14,0,2,8,19,39,3,11,1,0,13,0,0,2,0,0,0,1,0,2,0,1,0,9,0,0,0,0,48,49,56,0,0,8,0,0,11,3,0,0,53,0,40,8,0,34,0,0,2,0,100
"335",100,35,0,0,0,47,8,12,15,0,7,8,0,1,1,1,1,41,0,0,6,0,10,0,0,0,0,0,0,0,27,0,0,0,0,0,0,5,0,0,27,0,48,0,35,5,0,1,7,36,0,100
"336",0,0,1,13,1,0,0,0,46,0,1,71,36,0,0,0,0,14,50,0,1,0,3,0,0,1,0,6,1,0,3,2,6,2,5,0,0,20,0,0,0,46,12,120,10,1,1,3,8,0,0,100
"337",0,18,5,9,0,0,6,5,0,0,0,15,0,4,1,8,1,7,0,86,2,5,15,0,0,34,0,0,0,36,1,7,0,1,19,0,0,0,0,0,7,6,0,0,34,74,5,16,0,57,0,100
"338",45,3,0,2,25,38,0,0,9,0,0,1,0,11,0,0,0,6,2,38,4,22,14,0,0,3,22,1,0,0,0,1,29,100,14,0,2,0,0,69,4,1,4,0,0,1,0,9,0,4,0,100
"339",44,102,0,0,8,0,1,10,51,0,38,9,0,0,9,15,0,0,14,1,28,9,1,25,0,52,9,11,0,0,0,22,0,1,0,0,0,1,13,0,0,0,0,0,3,0,0,0,0,7,0,100
