sample.x	sample.y	jsd
ERR2493560	ERR2493560	0
ERR2493561	ERR2493560	0.0795377419341174
ERR2493562	ERR2493560	0.045492549150613
ERR2493563	ERR2493560	0.0824417065246046
ERR2493564	ERR2493560	0.0661622011761012
ERR2493565	ERR2493560	0.0322744249955489
ERR2493566	ERR2493560	0.0742676488343911
ERR2493567	ERR2493560	0.100763318110961
ERR2493568	ERR2493560	0.0575923273582335
ERR2493569	ERR2493560	0.0243880731648947
ERR2493570	ERR2493560	0.066317727725919
ERR2493571	ERR2493560	0.0468294930602653
ERR2493572	ERR2493560	0.0959670236173669
ERR2493573	ERR2493560	0.0406533414442223
ERR2493574	ERR2493560	0.108581423811461
ERR2493575	ERR2493560	0.0438948930341392
ERR2493576	ERR2493560	0.0854310017002962
ERR2493577	ERR2493560	0.042475855551387
ERR2493578	ERR2493560	0.00665164593530674
ERR2493579	ERR2493560	0.0513544908345356
ERR2493580	ERR2493560	0.0397412116179356
ERR2493581	ERR2493560	0.0589896406182114
ERR2493582	ERR2493560	0.0535762712035046
ERR2493583	ERR2493560	0.0837174072752471
ERR2493584	ERR2493560	0.0617479877631339
ERR2493585	ERR2493560	0.0705300323344931
ERR2493586	ERR2493560	0.0582770376920953
ERR2493587	ERR2493560	0.00508011846951759
ERR2493588	ERR2493560	0.0801106356635186
ERR2493589	ERR2493560	0.0541379005109359
ERR2493590	ERR2493560	0.0961418859993918
ERR2493591	ERR2493560	0.0683593517297519
ERR2493592	ERR2493560	0.0807894047746968
ERR2493593	ERR2493560	0.0542827357034301
ERR2493594	ERR2493560	0.137913413384091
ERR2493595	ERR2493560	0.0699890374072331
ERR2493596	ERR2493560	0.00586929423457742
ERR2493597	ERR2493560	0.0573070991626125
ERR2493598	ERR2493560	0.0359181014329927
ERR2493599	ERR2493560	0.108496208852287
ERR2493600	ERR2493560	0.0476259518636066
ERR2493601	ERR2493560	0.077488089409818
ERR2493602	ERR2493560	0.047871010147043
ERR2493603	ERR2493560	0.123289134610641
ERR2493604	ERR2493560	0.0386405661246707
ERR2493605	ERR2493560	0.00690420590225461
ERR2493606	ERR2493560	0.0762817403719514
ERR2493607	ERR2493560	0.034351668644914
ERR2493608	ERR2493560	0.0533428082831052
ERR2493609	ERR2493560	0.0440508633377782
ERR2493610	ERR2493560	0.0442456495647727
ERR2493611	ERR2493560	0.0547492935558649
ERR2493612	ERR2493560	0.0615511399988199
ERR2493613	ERR2493560	0.0605741006009305
ERR2493614	ERR2493560	0.00925619564154566
ERR2493615	ERR2493560	0.088066472794507
ERR2493616	ERR2493560	0.0328686307352896
ERR2493617	ERR2493560	0.085204606455922
ERR2493618	ERR2493560	0.0517085027114311
ERR2493619	ERR2493560	0.100148542506772
ERR2493620	ERR2493560	0.0987648355271436
ERR2493621	ERR2493560	0.0353418669856584
ERR2493622	ERR2493560	0.0445321890517067
ERR2493623	ERR2493560	0.00742457103148252
ERR2493624	ERR2493560	0.00810913055339153
ERR2493625	ERR2493560	0.0679783326150107
ERR2493626	ERR2493560	0.0754797864835004
ERR2493627	ERR2493560	0.049338785142515
ERR2493628	ERR2493560	0.052862770119778
ERR2493629	ERR2493560	0.0428460781316092
ERR2493630	ERR2493560	0.0582903443233286
ERR2493631	ERR2493560	0.0469767116876111
ERR2493632	ERR2493560	0.00844080521665457
ERR2493633	ERR2493560	0.0804088246278383
ERR2493634	ERR2493560	0.0929870652835705
ERR2493635	ERR2493560	0.0738266848631115
ERR2493636	ERR2493560	0.0815995688230015
ERR2493637	ERR2493560	0.0485956156352548
ERR2493638	ERR2493560	0.0655021518899653
ERR2493639	ERR2493560	0.0554827832367122
ERR2493640	ERR2493560	0.0315112677646887
ERR2493641	ERR2493560	0.00932699124253054
ERR2493642	ERR2493560	0.0344795541399745
ERR2493643	ERR2493560	0.0641236709310386
ERR2493644	ERR2493560	0.100957445190121
ERR2493645	ERR2493560	0.0579442404327121
ERR2493646	ERR2493560	0.044846094252853
ERR2493647	ERR2493560	0.0331479121642718
ERR2493648	ERR2493560	0.054085784249606
ERR2493649	ERR2493560	0.0550742303598541
ERR2493560	ERR2493561	0.0795377419341174
ERR2493561	ERR2493561	0
ERR2493562	ERR2493561	0.0622539055562819
ERR2493563	ERR2493561	0.051555416637655
ERR2493564	ERR2493561	0.0928362142743815
ERR2493565	ERR2493561	0.0351019874556206
ERR2493566	ERR2493561	0.0986766734050117
ERR2493567	ERR2493561	0.0647155100912668
ERR2493568	ERR2493561	0.0574554606313063
ERR2493569	ERR2493561	0.0931527344658329
ERR2493570	ERR2493561	0.032556147210757
ERR2493571	ERR2493561	0.0593913908747167
ERR2493572	ERR2493561	0.0462889600583967
ERR2493573	ERR2493561	0.0479434283887267
ERR2493574	ERR2493561	0.0694221044542847
ERR2493575	ERR2493561	0.0680076340113594
ERR2493576	ERR2493561	0.0327036166659062
ERR2493577	ERR2493561	0.043342786950312
ERR2493578	ERR2493561	0.0766594628280758
ERR2493579	ERR2493561	0.0309605201468893
ERR2493580	ERR2493561	0.0475199112354541
ERR2493581	ERR2493561	0.0332709905597544
ERR2493582	ERR2493561	0.0536242372148057
ERR2493583	ERR2493561	0.0482350132719595
ERR2493584	ERR2493561	0.0838283639184066
ERR2493585	ERR2493561	0.0468757970006016
ERR2493586	ERR2493561	0.0509636379598155
ERR2493587	ERR2493561	0.0785462155754705
ERR2493588	ERR2493561	0.0348424068399711
ERR2493589	ERR2493561	0.0694148731254397
ERR2493590	ERR2493561	0.0423145117382638
ERR2493591	ERR2493561	0.0923137062322998
ERR2493592	ERR2493561	0.0502555131141109
ERR2493593	ERR2493561	0.0530377424877595
ERR2493594	ERR2493561	0.0740578832226536
ERR2493595	ERR2493561	0.0889815945806311
ERR2493596	ERR2493561	0.0766091230055498
ERR2493597	ERR2493561	0.0346454506022115
ERR2493598	ERR2493561	0.0348755133644151
ERR2493599	ERR2493561	0.0536290389278921
ERR2493600	ERR2493561	0.0303650974975073
ERR2493601	ERR2493561	0.0446240843775408
ERR2493602	ERR2493561	0.0696190140026483
ERR2493603	ERR2493561	0.0786216217510702
ERR2493604	ERR2493561	0.0360618785027378
ERR2493605	ERR2493561	0.0943292761694052
